NAICS  Code,Kind of Business,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL
451,"Sporting goods, hobby, musical instrument, and book stores",7227.0,7051.0,6964,7028,6948,6945,6841,6913,7002,7031,7144,7059,
452,General merchandise stores,57695.0,56965.0,57274,57655,56600,57767,57438,57654,58294,57996,58065,58591,
4521,Department stores,12565.0,12394.0,12390,12403,12309,12341,12170,12158,12196,12072,12057,11963,
4529,Other general merchandise stores,45130.0,44571.0,44884,45252,44291,45426,45268,45496,46098,45924,46008,46628,
45291,Warehouse clubs and superstores,38966.0,38479.0,38682,38980,38127,39173,38973,39227,39747,39643,39715,40231,
45299,All other gen. merchandise stores,6164.0,6092.0,6202,6272,6164,6253,6295,6269,6351,6281,6293,6397,
453,Miscellaneous stores retailers,10110.0,10280.0,10189,10249,10043,10048,10258,10235,10354,10392,10590,10656,
454,Nonstore retailers,48132.0,48312.0,48903,49624,49991,50267,50713,51035,51561,51074,53421,54363,
4541,Electronic shopping and mail order houses,41456.0,41662.0,42157,42922,43098,43438,43918,44008,44424,44077,46017,46733,
45431,Fuel dealers,2425.0,2414.0,2516,2523,2615,2530,2486,2579,2645,2559,2896,3123,
722,Food services and drinking places,57403.0,57492.0,57379,57474,57470,57263,57215,57524,57884,58126,58849,59119,
